account_id,party_id,account_type,account_status,balance,currency,branch_code,opened_date
ACC-000000001,PTY-00000001,SAVINGS,ACTIVE,46676.19,EUR,BR-102,2020-01-06
ACC-000000002,PTY-00000002,CURRENT,DORMANT,2112.8,EUR,BR-104,2018-07-09
ACC-000000003,PTY-00000003,TERM_DEPOSIT,ACTIVE,98899.33,EUR,BR-102,2020-11-15
ACC-000000004,PTY-00000004,TERM_DEPOSIT,ACTIVE,96708.59,EUR,BR-101,2016-08-16
ACC-000000005,PTY-00000005,SAVINGS,ACTIVE,45566.86,EUR,BR-102,2021-10-30
ACC-000000006,PTY-00000006,TERM_DEPOSIT,CLOSED,12108.68,EUR,BR-103,2022-08-19
ACC-000000007,PTY-00000007,SAVINGS,ACTIVE,4475.61,EUR,BR-105,2022-03-02
ACC-000000008,PTY-00000008,TERM_DEPOSIT,ACTIVE,89306.67,EUR,BR-105,2026-01-09
ACC-000000009,PTY-00000009,SAVINGS,ACTIVE,34377.78,EUR,BR-102,2018-01-20
ACC-000000010,PTY-00000010,CURRENT,CLOSED,3825.81,EUR,BR-101,2021-06-14
ACC-000000011,PTY-00000011,CURRENT,ACTIVE,241.84,EUR,BR-101,2023-02-20
ACC-000000012,PTY-00000012,CURRENT,ACTIVE,1296.57,EUR,BR-102,2024-07-09
ACC-000000013,PTY-00000013,CURRENT,ACTIVE,1974.47,EUR,BR-104,2019-11-21
ACC-000000014,PTY-00000014,CURRENT,ACTIVE,1344.49,EUR,BR-101,2017-05-28
ACC-000000015,PTY-00000015,CURRENT,ACTIVE,2778.33,EUR,BR-103,2019-11-03
ACC-000000016,PTY-00000016,CURRENT,CLOSED,3482.54,EUR,BR-103,2024-03-12
ACC-000000017,PTY-00000017,TERM_DEPOSIT,DORMANT,15132.06,EUR,BR-103,2019-12-25
ACC-000000018,PTY-00000018,CURRENT,ACTIVE,207.5,EUR,BR-104,2023-05-08
ACC-000000019,PTY-00000019,CURRENT,DORMANT,3913.73,USD,BR-105,2018-01-26
ACC-000000020,PTY-00000020,CURRENT,DORMANT,1502.35,EUR,BR-105,2017-06-08
ACC-000000021,PTY-00000021,CURRENT,ACTIVE,3142.37,EUR,BR-102,2019-05-20
ACC-000000022,PTY-00000022,CURRENT,ACTIVE,293.17,EUR,BR-101,2019-12-06
ACC-000000023,PTY-00000023,CURRENT,ACTIVE,4557.18,EUR,BR-104,2024-06-16
ACC-000000024,PTY-00000024,CURRENT,ACTIVE,4394.66,EUR,BR-105,2023-05-16
ACC-000000025,PTY-00000025,SAVINGS,ACTIVE,41322.15,EUR,BR-103,2018-01-21
ACC-000000026,PTY-00000026,TERM_DEPOSIT,ACTIVE,49491.48,EUR,BR-102,2016-10-12
ACC-000000027,PTY-00000027,SAVINGS,ACTIVE,20171.87,EUR,BR-105,2022-04-29
ACC-000000028,PTY-00000028,CURRENT,ACTIVE,1395.85,EUR,BR-103,2018-11-19
ACC-000000029,PTY-00000029,SAVINGS,ACTIVE,19360.76,EUR,BR-103,2025-03-19
ACC-000000030,PTY-00000030,SAVINGS,ACTIVE,31167.57,USD,BR-103,2019-08-03
ACC-000000031,PTY-00000031,CURRENT,ACTIVE,4136.89,USD,BR-103,2019-02-23
ACC-000000032,PTY-00000032,CURRENT,ACTIVE,4736.68,EUR,BR-104,2025-02-15
ACC-000000033,PTY-00000033,CURRENT,DORMANT,764.75,EUR,BR-105,2021-09-23
ACC-000000034,PTY-00000034,SAVINGS,ACTIVE,44327.98,EUR,BR-104,2019-07-11
ACC-000000035,PTY-00000035,CURRENT,CLOSED,260.31,EUR,BR-104,2021-06-10
ACC-000000036,PTY-00000036,TERM_DEPOSIT,DORMANT,14438.69,EUR,BR-105,2019-03-13
